promoter,rbs,gmean,system,species,growth_defect
J23100,B0032m,5321.972269,CIDAR,e_coli,unknown
J23100,B0033m,3667.38442,CIDAR,e_coli,unknown
J23100,B0034m,19369.95951,CIDAR,e_coli,unknown
J23100,BCD-2,21058.73809,CIDAR,e_coli,unknown
J23106,B0032m,1966.660399,CIDAR,e_coli,unknown
J23106,B0033m,1112.25565,CIDAR,e_coli,unknown
J23106,B0034m,5830.107567,CIDAR,e_coli,unknown
J23106,BCD-2,12277.47083,CIDAR,e_coli,unknown
J23103,B0032m,108.7185447,CIDAR,e_coli,unknown
J23103,B0033m,113.7903965,CIDAR,e_coli,unknown
J23103,B0034m,1129.289475,CIDAR,e_coli,unknown
J23103,BCD-2,3809.41323,CIDAR,e_coli,unknown
