well,name,promoter,rbs
C1,J23103_B0032m,J23103,B0032m
D1,J23100_B0033m,J23100,B0033m
E1,J23103_RiboJ_UTR1,J23103,RiboJ_UTR1
F1,J23100_RiboJ_UTR1,J23100,RiboJ_UTR1
G1,J23106_RiboJ_BCD-2,J23106,RiboJ_BCD-2
H1,J23100_RiboJ_BCD-2,J23100,RiboJ_BCD-2
A2,J23103_B0033m,J23103,B0033m
B2,J23103_RiboJ_BCD-2,J23103,RiboJ_BCD-2
C2,J23103_BCD-2,J23103,BCD-2
D2,J23103_B0034m,J23103,B0034m
E2,J23103_BCD-2,J23103,BCD-2
F2,J23100_BCD-2,J23100,BCD-2
G2,J23100_B0034m,J23100,B0034m
H2,J23103_B0034m,J23103,B0034m
A3,J23106_B0033m,J23106,B0033m
B3,J23103_B0032m,J23103,B0032m
C3,J23106_B0034m,J23106,B0034m
D3,J23103_B0033m,J23103,B0033m
E3,J23106_B0032m,J23106,B0032m
F3,J23106_BCD-2,J23106,BCD-2
G3,J23106_RiboJ_UTR1,J23106,RiboJ_UTR1
H3,J23100_B0032m,J23100,B0032m
lacZ,empty_vector,empty_vector,empty_vector
